time,NorESM2-MM_r1i1p1f1_ssp585,NorESM2-MM_r1i1p1f1_ssp370,NorESM2-MM_r1i1p1f1_ssp245,NorESM2-MM_r2i1p1f1_ssp245,CESM2_r10i1p1f1_ssp585,CESM2_r10i1p1f1_ssp370,CESM2_r10i1p1f1_ssp245,CESM2_r11i1p1f1_ssp585,CESM2_r11i1p1f1_ssp370,CESM2_r11i1p1f1_ssp245,CESM2_r4i1p1f1_ssp585,CESM2_r4i1p1f1_ssp370,CESM2_r4i1p1f1_ssp245,CESM2-LENS_r10i1181p1f1_ssp370,CESM2-LENS_r1i1001p1f1_ssp370,CESM2-LENS_r2i1021p1f1_ssp370,CESM2-LENS_r3i1041p1f1_ssp370,CESM2-LENS_r4i1061p1f1_ssp370,CESM2-LENS_r5i1081p1f1_ssp370,CESM2-LENS_r6i1101p1f1_ssp370,CESM2-LENS_r7i1121p1f1_ssp370,CESM2-LENS_r8i1141p1f1_ssp370,CESM2-LENS_r9i1161p1f1_ssp370
1983-03-16 12:00:00,0.14746972820700557,0.14746972820700557,0.14746972820700557,0.341405109509441,0.41738803322315216,0.41738803322315216,0.41738803322315216,0.29895946023705733,0.29895946023705733,0.29895946023705733,0.5326179756616971,0.5326179756616971,0.5326179756616971,0.3150681039265287,0.4278160743559804,0.2136245856782966,0.35568666497791124,0.22096296128090717,0.46156465066703684,0.28602956894941417,0.450043833638959,0.1823705254364557,0.5001530610530142
1983-04-16 00:00:00,0.14881725540802412,0.14881725540802412,0.14881725540802412,0.3409810892537907,0.41538544455228676,0.41538544455228676,0.41538544455228676,0.29817519135685705,0.29817519135685705,0.29817519135685705,0.5336640121344612,0.5336640121344612,0.5336640121344612,0.3161962483677056,0.42763563319195796,0.2161954050822897,0.35536920271124994,0.22070952658889928,0.4625054055774067,0.28674193509244195,0.45212433262468843,0.18437259123137958,0.49889836134559906
1983-05-16 12:00:00,0.1487347417737136,0.1487347417737136,0.1487347417737136,0.3405154463016039,0.41339215454146083,0.41339215454146083,0.41339215454146083,0.2972055905617703,0.2972055905617703,0.2972055905617703,0.5346632279699437,0.5346632279699437,0.5346632279699437,0.31765179081926054,0.42685060276805115,0.21947094626166172,0.35564642604869384,0.22268314322482705,0.4627567584041633,0.287393052339799,0.4536789305776596,0.18561173341789303,0.4999347811325781
1983-06-16 00:00:00,0.14932605527604464,0.14932605527604464,0.14932605527604464,0.33968832647515984,0.4140915534089186,0.4140915534089186,0.4140915534089186,0.2961491768888472,0.2961491768888472,0.2961491768888472,0.5346266498570719,0.5346266498570719,0.5346266498570719,0.3194248688269534,0.42628311129229196,0.2222201680930072,0.355152772778636,0.22496490181794399,0.46318108432112554,0.288293243216602,0.4550501013581787,0.18633975648249812,0.500058798524105
1983-07-16 12:00:00,0.14929481566421027,0.14929481566421027,0.14929481566421027,0.3395700944327589,0.4146939566788975,0.4146939566788975,0.4146939566788975,0.2957971352928134,0.2957971352928134,0.2957971352928134,0.5338596489090343,0.5338596489090343,0.5338596489090343,0.3201543084216425,0.42684820751242136,0.2247418710353055,0.35447543413579247,0.22548533020655437,0.4635914752994888,0.2891553030522073,0.45670822770450525,0.18634230495755755,0.5001900046823129
1983-08-16 12:00:00,0.14972352351914228,0.14972352351914228,0.14972352351914228,0.33949905044529205,0.416243557457229,0.416243557457229,0.416243557457229,0.29592867386430893,0.29592867386430893,0.29592867386430893,0.5342346605725399,0.5342346605725399,0.5342346605725399,0.3209039702023558,0.42743341254016015,0.2266295523891621,0.35457263335105155,0.22663658496643535,0.46444795739781264,0.290758797427038,0.45832430023045895,0.18565934599259298,0.5019536555044943
1983-09-16 00:00:00,0.14978477804967127,0.14978477804967127,0.14978477804967127,0.3394789703502094,0.41899545368533564,0.41899545368533564,0.41899545368533564,0.29640401511190695,0.29640401511190695,0.29640401511190695,0.5341040733068446,0.5341040733068446,0.5341040733068446,0.3221024836225996,0.4288183309199603,0.22950775958144878,0.35393149339632707,0.22738130460663253,0.46555762130713824,0.2922119204567937,0.4602356665196192,0.18630335000392578,0.5032526379166723
1983-10-16 12:00:00,0.15064243462775598,0.15064243462775598,0.15064243462775598,0.34018938426150364,0.42091834276629475,0.42091834276629475,0.42091834276629475,0.29460267672041096,0.29460267672041096,0.29460267672041096,0.5344538931773783,0.5344538931773783,0.5344538931773783,0.32268314411179966,0.43009730157758763,0.23205793047268558,0.3540305819459521,0.2283984071872723,0.46583625003920587,0.29360669391755206,0.46120751473899635,0.1863583466217006,0.5025380796422716
1983-11-16 00:00:00,0.15272433720865,0.15272433720865,0.15272433720865,0.34075543693338467,0.4227190802954972,0.4227190802954972,0.4227190802954972,0.294121719975008,0.294121719975008,0.294121719975008,0.5346232589656708,0.5346232589656708,0.5346232589656708,0.3238650641428234,0.43220646218246633,0.23309410806968386,0.35474815828070494,0.22902947094213885,0.4647642324574761,0.2952748954213523,0.46240925402712824,0.1879361172883075,0.501809670228041
1983-12-16 12:00:00,0.15466355279391925,0.15466355279391925,0.15466355279391925,0.3398346988930231,0.42563390275758833,0.42563390275758833,0.42563390275758833,0.29418784926932395,0.29418784926932395,0.29418784926932395,0.5359094301767797,0.5359094301767797,0.5359094301767797,0.3271344371656582,0.4340707553842563,0.23499311649132035,0.35407992980318664,0.2304696974979964,0.4637669348014119,0.2975122594876706,0.4633630277925732,0.18887383971487187,0.5008995472871969
