GCM,run,scenario,Unnamed: 0,0.8,1.0,1.2,1.5,2.0,2.5,3.0,4.0
ACCESS-ESM1-5,r32i1p1f1,ssp370,34,2011-02-15 00:00:00,2017-04-16 00:00:00,2022-11-16 00:00:00,2031-01-16 12:00:00,2041-04-16 00:00:00,2053-02-15 00:00:00,2063-11-16 00:00:00,2086-07-16 12:00:00
ACCESS-ESM1-5,r32i1p1f1,ssp245,35,2010-11-16 00:00:00,2017-01-16 12:00:00,2023-08-16 12:00:00,2033-02-15 00:00:00,2043-04-16 00:00:00,2054-07-16 12:00:00,2080-12-16 12:00:00,
ACCESS-ESM1-5,r26i1p1f1,ssp370,36,2004-04-16 00:00:00,2008-12-16 12:00:00,2015-11-16 00:00:00,2026-02-15 00:00:00,2039-01-16 12:00:00,2050-09-16 00:00:00,2062-11-16 00:00:00,2084-03-16 12:00:00
ACCESS-ESM1-5,r27i1p1f1,ssp370,37,2009-03-16 12:00:00,2014-01-16 12:00:00,2020-03-16 12:00:00,2031-03-16 12:00:00,2044-12-16 12:00:00,2055-01-16 12:00:00,2066-04-16 00:00:00,2089-11-16 00:00:00
ACCESS-ESM1-5,r22i1p1f1,ssp370,38,2007-02-15 00:00:00,2014-10-16 12:00:00,2021-03-16 12:00:00,2030-10-16 12:00:00,2042-02-15 00:00:00,2055-12-16 12:00:00,2066-02-15 00:00:00,2083-09-16 00:00:00
ACCESS-ESM1-5,r15i1p1f1,ssp370,39,2003-03-16 12:00:00,2009-05-16 12:00:00,2017-11-16 00:00:00,2029-09-16 00:00:00,2043-03-16 12:00:00,2053-05-16 12:00:00,2064-12-16 12:00:00,2084-10-16 12:00:00
ACCESS-ESM1-5,r28i1p1f1,ssp370,40,2014-03-16 12:00:00,2022-05-16 12:00:00,2026-12-16 12:00:00,2032-10-16 12:00:00,2045-09-16 00:00:00,2058-01-16 12:00:00,2068-05-16 12:00:00,2086-12-16 12:00:00
ACCESS-ESM1-5,r5i1p1f1,ssp585,41,2008-08-16 12:00:00,2014-10-16 12:00:00,2019-06-16 00:00:00,2025-01-16 12:00:00,2034-10-16 12:00:00,2046-09-16 00:00:00,2057-03-16 12:00:00,2074-10-16 12:00:00
ACCESS-ESM1-5,r16i1p1f1,ssp370,42,2007-04-16 00:00:00,2014-08-16 12:00:00,2019-10-16 12:00:00,2028-04-16 00:00:00,2040-04-16 00:00:00,2052-02-15 12:00:00,2066-06-16 00:00:00,2084-09-16 00:00:00
ACCESS-ESM1-5,r19i1p1f1,ssp370,43,2002-08-16 12:00:00,2008-05-16 12:00:00,2015-08-16 12:00:00,2025-10-16 12:00:00,2040-07-16 12:00:00,2055-04-16 00:00:00,2065-07-16 12:00:00,2084-08-16 12:00:00
ACCESS-ESM1-5,r39i1p1f1,ssp370,44,2010-02-15 00:00:00,2017-02-15 00:00:00,2024-05-16 12:00:00,2033-09-16 00:00:00,2043-10-16 12:00:00,2054-03-16 12:00:00,2066-08-16 12:00:00,2086-02-15 00:00:00
ACCESS-ESM1-5,r39i1p1f1,ssp245,45,2009-07-16 12:00:00,2016-08-16 12:00:00,2020-11-16 00:00:00,2028-10-16 12:00:00,2042-07-16 12:00:00,2057-10-16 12:00:00,2080-06-16 00:00:00,
ACCESS-ESM1-5,r12i1p1f1,ssp370,46,2007-12-16 12:00:00,2015-03-16 12:00:00,2022-08-16 12:00:00,2029-09-16 00:00:00,2040-07-16 12:00:00,2052-01-16 12:00:00,2062-08-16 12:00:00,2083-07-16 12:00:00
ACCESS-ESM1-5,r1i1p1f1,ssp585,47,2003-08-16 12:00:00,2009-08-16 12:00:00,2018-01-16 12:00:00,2026-02-15 00:00:00,2036-09-16 00:00:00,2047-03-16 12:00:00,2057-09-16 00:00:00,2074-02-15 00:00:00
ACCESS-ESM1-5,r9i1p1f1,ssp585,48,2009-02-15 00:00:00,2016-07-16 12:00:00,2021-03-16 12:00:00,2026-06-16 00:00:00,2036-07-16 12:00:00,2046-08-16 12:00:00,2056-08-16 12:00:00,2074-11-16 00:00:00
ACCESS-ESM1-5,r2i1p1f1,ssp585,49,2006-10-16 12:00:00,2012-08-16 12:00:00,2018-09-16 00:00:00,2026-01-16 12:00:00,2037-04-16 00:00:00,2047-02-15 00:00:00,2056-11-16 00:00:00,2074-10-16 12:00:00
ACCESS-ESM1-5,r14i1p1f1,ssp370,50,2008-06-16 00:00:00,2016-01-16 12:00:00,2020-12-16 12:00:00,2030-03-16 12:00:00,2042-08-16 12:00:00,2054-07-16 12:00:00,2065-02-15 00:00:00,2085-12-16 12:00:00
ACCESS-ESM1-5,r23i1p1f1,ssp370,51,2013-02-15 00:00:00,2018-05-16 12:00:00,2024-06-16 00:00:00,2030-10-16 12:00:00,2042-07-16 12:00:00,2053-12-16 12:00:00,2066-04-16 00:00:00,2086-06-16 00:00:00
ACCESS-ESM1-5,r34i1p1f1,ssp370,52,2012-08-16 12:00:00,2019-05-16 12:00:00,2024-07-16 12:00:00,2031-01-16 12:00:00,2044-05-16 12:00:00,2055-11-16 00:00:00,2067-09-16 00:00:00,2088-01-16 12:00:00
ACCESS-ESM1-5,r34i1p1f1,ssp245,53,2011-05-16 12:00:00,2017-06-16 00:00:00,2022-05-16 12:00:00,2030-09-16 00:00:00,2045-10-16 12:00:00,2060-02-15 12:00:00,2085-11-16 00:00:00,
ACCESS-ESM1-5,r11i1p1f1,ssp370,54,2003-12-16 12:00:00,2010-12-16 12:00:00,2020-02-15 12:00:00,2029-06-16 00:00:00,2041-11-16 00:00:00,2054-10-16 12:00:00,2065-12-16 12:00:00,2086-10-16 12:00:00
ACCESS-ESM1-5,r24i1p1f1,ssp370,55,2006-07-16 12:00:00,2012-05-16 12:00:00,2019-01-16 12:00:00,2026-12-16 12:00:00,2040-04-16 00:00:00,2053-01-16 12:00:00,2064-07-16 12:00:00,2087-05-16 12:00:00
ACCESS-ESM1-5,r8i1p1f1,ssp585,56,2011-05-16 12:00:00,2016-03-16 12:00:00,2020-11-16 00:00:00,2027-03-16 12:00:00,2039-08-16 12:00:00,2049-09-16 00:00:00,2058-07-16 12:00:00,2078-03-16 12:00:00
ACCESS-ESM1-5,r20i1p1f1,ssp370,57,2003-06-16 00:00:00,2011-03-16 12:00:00,2021-09-16 00:00:00,2030-12-16 12:00:00,2042-08-16 12:00:00,2054-06-16 00:00:00,2064-09-16 00:00:00,2084-04-16 00:00:00
ACCESS-ESM1-5,r21i1p1f1,ssp370,58,2002-11-16 00:00:00,2009-11-16 00:00:00,2017-05-16 12:00:00,2026-04-16 00:00:00,2039-01-16 12:00:00,2050-10-16 12:00:00,2062-04-16 00:00:00,2085-12-16 12:00:00
ACCESS-ESM1-5,r7i1p1f1,ssp585,59,2009-05-16 12:00:00,2014-01-16 12:00:00,2018-09-16 00:00:00,2024-09-16 00:00:00,2036-01-16 12:00:00,2047-01-16 12:00:00,2056-06-16 00:00:00,2074-06-16 00:00:00
ACCESS-ESM1-5,r10i1p1f1,ssp585,60,2008-01-16 12:00:00,2012-09-16 00:00:00,2018-01-16 12:00:00,2024-12-16 12:00:00,2035-05-16 12:00:00,2046-01-16 12:00:00,2056-06-16 00:00:00,2075-08-16 12:00:00
ACCESS-ESM1-5,r4i1p1f1,ssp585,61,2006-04-16 00:00:00,2016-11-16 00:00:00,2023-12-16 12:00:00,2030-01-16 12:00:00,2040-03-16 12:00:00,2050-04-16 00:00:00,2059-02-15 00:00:00,2075-08-16 12:00:00
ACCESS-ESM1-5,r36i1p1f1,ssp370,62,2010-11-16 00:00:00,2016-01-16 12:00:00,2021-07-16 12:00:00,2029-08-16 12:00:00,2044-03-16 12:00:00,2054-11-16 00:00:00,2065-09-16 00:00:00,2087-10-16 12:00:00
ACCESS-ESM1-5,r36i1p1f1,ssp245,63,2012-02-15 12:00:00,2016-11-16 00:00:00,2022-12-16 12:00:00,2030-09-16 00:00:00,2046-04-16 00:00:00,2059-12-16 12:00:00,2085-03-16 12:00:00,
ACCESS-ESM1-5,r30i1p1f1,ssp370,64,2007-10-16 12:00:00,2013-04-16 00:00:00,2018-04-16 00:00:00,2027-09-16 00:00:00,2041-02-15 00:00:00,2051-11-16 00:00:00,2064-01-16 12:00:00,2084-09-16 00:00:00
AWI-CM-1-1-MR,r3i1p1f1,ssp370,65,1993-03-16 12:00:00,2002-10-16 12:00:00,2008-09-16 00:00:00,2016-10-16 12:00:00,2032-09-16 00:00:00,2046-07-16 12:00:00,2061-04-16 00:00:00,2083-12-16 12:00:00
AWI-CM-1-1-MR,r2i1p1f1,ssp370,66,1993-11-16 00:00:00,2003-05-16 12:00:00,2008-01-16 12:00:00,2017-07-16 12:00:00,2032-02-15 12:00:00,2045-06-16 00:00:00,2059-05-16 12:00:00,2082-10-16 12:00:00
AWI-CM-1-1-MR,r5i1p1f1,ssp370,67,1994-06-16 00:00:00,2002-06-16 00:00:00,2008-10-16 12:00:00,2020-04-16 00:00:00,2034-10-16 12:00:00,2049-08-16 12:00:00,2063-08-16 12:00:00,2085-03-16 12:00:00
AWI-CM-1-1-MR,r4i1p1f1,ssp370,68,1992-08-16 12:00:00,2002-01-16 12:00:00,2006-04-16 00:00:00,2016-10-16 12:00:00,2032-10-16 12:00:00,2046-06-16 00:00:00,2060-09-16 00:00:00,2084-08-16 12:00:00
AWI-CM-1-1-MR,r1i1p1f1,ssp585,69,1993-07-16 12:00:00,1999-05-16 12:00:00,2005-09-16 00:00:00,2015-12-16 12:00:00,2030-08-16 12:00:00,2045-10-16 12:00:00,2054-11-16 00:00:00,2074-02-15 00:00:00
AWI-CM-1-1-MR,r1i1p1f1,ssp370,70,1993-07-16 12:00:00,1999-05-16 12:00:00,2005-08-16 12:00:00,2017-01-16 12:00:00,2033-05-16 12:00:00,2046-05-16 12:00:00,2058-07-16 12:00:00,2083-08-16 12:00:00
AWI-CM-1-1-MR,r1i1p1f1,ssp245,71,1993-07-16 12:00:00,1999-05-16 12:00:00,2005-09-16 00:00:00,2015-12-16 12:00:00,2033-08-16 12:00:00,2050-06-16 00:00:00,2074-10-16 12:00:00,
