GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
ACCESS-ESM1-5,r38i1p1f1,ssp370,2042-12-16 12:00:00,2054-09-16 00:00:00,2065-09-16 00:00:00,2076-02-15 12:00:00,
ACCESS-ESM1-5,r38i1p1f1,ssp245,2042-09-16 00:00:00,2057-04-16 00:00:00,2081-02-15 00:00:00,,
ACCESS-ESM1-5,r32i1p1f1,ssp370,2038-02-15 00:00:00,2049-10-16 12:00:00,2060-12-16 12:00:00,2071-02-15 00:00:00,
ACCESS-ESM1-5,r32i1p1f1,ssp245,2040-06-16 00:00:00,2050-12-16 12:00:00,2073-11-16 00:00:00,,
ACCESS-ESM1-5,r24i1p1f1,ssp370,2039-09-16 00:00:00,2052-04-16 00:00:00,2063-11-16 00:00:00,2075-09-16 00:00:00,
ACCESS-ESM1-5,r13i1p1f1,ssp370,2041-07-16 12:00:00,2052-03-16 12:00:00,2062-09-16 00:00:00,2073-06-16 00:00:00,
ACCESS-ESM1-5,r19i1p1f1,ssp370,2045-01-16 12:00:00,2058-03-16 12:00:00,2067-10-16 12:00:00,2077-10-16 12:00:00,
ACCESS-ESM1-5,r15i1p1f1,ssp370,2045-12-16 12:00:00,2056-03-16 12:00:00,2068-02-15 12:00:00,2078-06-16 00:00:00,
ACCESS-ESM1-5,r40i1p1f1,ssp370,2040-07-16 12:00:00,2053-05-16 12:00:00,2063-12-16 12:00:00,2075-09-16 00:00:00,
ACCESS-ESM1-5,r40i1p1f1,ssp245,2042-01-16 12:00:00,2058-07-16 12:00:00,2077-11-16 00:00:00,,
ACCESS-ESM1-5,r34i1p1f1,ssp370,2041-02-15 00:00:00,2053-06-16 00:00:00,2064-05-16 12:00:00,2076-02-15 12:00:00,
ACCESS-ESM1-5,r34i1p1f1,ssp245,2041-09-16 00:00:00,2055-08-16 12:00:00,2080-06-16 00:00:00,,
ACCESS-ESM1-5,r10i1p1f1,ssp585,2034-01-16 12:00:00,2044-06-16 00:00:00,2055-02-15 00:00:00,2064-10-16 12:00:00,2082-10-16 12:00:00
ACCESS-ESM1-5,r16i1p1f1,ssp370,2040-04-16 00:00:00,2052-01-16 12:00:00,2066-05-16 12:00:00,2075-10-16 12:00:00,
ACCESS-ESM1-5,r14i1p1f1,ssp370,2040-01-16 12:00:00,2052-09-16 00:00:00,2062-12-16 12:00:00,2074-04-16 00:00:00,
AWI-CM-1-1-MR,r3i1p1f1,ssp370,2042-01-16 12:00:00,2056-12-16 12:00:00,2068-10-16 12:00:00,2080-05-16 12:00:00,
AWI-CM-1-1-MR,r4i1p1f1,ssp370,2043-02-15 00:00:00,2058-05-16 12:00:00,2070-06-16 00:00:00,2082-02-15 00:00:00,
AWI-CM-1-1-MR,r5i1p1f1,ssp370,2044-05-16 12:00:00,2059-08-16 12:00:00,2071-06-16 00:00:00,2081-04-16 00:00:00,
AWI-CM-1-1-MR,r1i1p1f1,ssp585,2044-02-15 12:00:00,2053-03-16 12:00:00,2062-10-16 12:00:00,2072-03-16 12:00:00,2088-04-16 00:00:00
AWI-CM-1-1-MR,r1i1p1f1,ssp370,2044-09-16 00:00:00,2056-06-16 00:00:00,2068-10-16 12:00:00,2080-11-16 00:00:00,
AWI-CM-1-1-MR,r1i1p1f1,ssp245,2046-11-16 00:00:00,2069-08-16 12:00:00,,,
AWI-CM-1-1-MR,r2i1p1f1,ssp370,2042-01-16 12:00:00,2055-06-16 00:00:00,2068-08-16 12:00:00,2080-03-16 12:00:00,
BCC-CSM2-MR,r1i1p1f1,ssp585,2039-07-16 12:00:00,2050-02-15 00:00:00,2060-06-16 00:00:00,2071-01-16 12:00:00,
BCC-CSM2-MR,r1i1p1f1,ssp370,2042-03-16 12:00:00,2055-02-15 00:00:00,2068-01-16 12:00:00,2080-12-16 12:00:00,
BCC-CSM2-MR,r1i1p1f1,ssp245,2049-08-16 12:00:00,2081-01-16 12:00:00,,,
BCC-ESM1,r3i1p1f1,ssp370,2045-03-16 12:00:00,,,,
BCC-ESM1,r1i1p1f1,ssp370,2045-11-16 00:00:00,,,,
BCC-ESM1,r2i1p1f1,ssp370,,,,,
CAMS-CSM1-0,r1i1p1f1,ssp585,2059-05-16 12:00:00,2073-08-16 12:00:00,2085-05-16 12:00:00,,
CAMS-CSM1-0,r1i1p1f1,ssp370,2064-04-16 00:00:00,2081-06-16 00:00:00,,,
CAMS-CSM1-0,r1i1p1f1,ssp245,2088-01-16 12:00:00,,,,
CAMS-CSM1-0,r2i1p1f1,ssp585,2061-05-16 12:00:00,2074-01-16 12:00:00,2085-03-16 12:00:00,,
CAMS-CSM1-0,r2i1p1f1,ssp370,2062-01-16 12:00:00,2081-10-16 12:00:00,,,
CAMS-CSM1-0,r2i1p1f1,ssp245,2082-03-16 12:00:00,,,,
CAS-ESM2-0,r3i1p1f1,ssp585,2039-06-16 00:00:00,2048-03-16 12:00:00,2056-11-16 00:00:00,2065-01-16 12:00:00,2079-10-16 12:00:00
CAS-ESM2-0,r3i1p1f1,ssp370,2047-10-16 12:00:00,2056-12-16 12:00:00,2067-08-16 12:00:00,2079-07-16 12:00:00,
CAS-ESM2-0,r3i1p1f1,ssp245,2046-02-15 00:00:00,2059-12-16 12:00:00,2073-03-16 12:00:00,,
CAS-ESM2-0,r1i1p1f1,ssp585,2038-09-16 00:00:00,2048-04-16 00:00:00,2056-05-16 12:00:00,2063-12-16 12:00:00,2078-10-16 12:00:00
