era-id,latitude,longitude,elevation,start-date,end-date,network,total_nobs
ASOSAWOS_72278753126,33.527,-112.295,324.9168,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,84952
ASOSAWOS_72278803186,33.417,-112.383,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,94925
ASOSAWOS_72278903192,33.612,-111.923,436.1688,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,157778
ASOSAWOS_72281023199,32.832,-115.664,-14.0208,1984-04-13 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,316632
ASOSAWOS_72281353146,31.606,-110.428,1445.3616,2008-08-07 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,127736
ASOSAWOS_72281703068,38.767,-104.3,1837.944,2006-05-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,172193
ASOSAWOS_72282553145,37.617,-116.264,1755.648,2006-01-01 00:00:00+00:00,2015-02-01 00:00:00+00:00,ASOSAWOS,58868
ASOSAWOS_72286893138,33.822,-116.504,124.6632,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,156009
ASOSAWOS_72286903171,33.953,-117.435,257.556,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,169622
ASOSAWOS_72287493134,34.024,-118.291,54.5592,2000-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,276134
ASOSAWOS_72288023152,34.2,-118.365,222.8088,1943-06-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,405179
ASOSAWOS_72288593197,34.021,-118.447,53.34,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,185048
ASOSAWOS_72288623130,34.212,-118.491,239.268,1942-12-11 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,324670
ASOSAWOS_72289523243,34.667,-120.467,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,308933
ASOSAWOS_72289793206,35.238,-120.644,55.7784,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,192993
ASOSAWOS_72289903179,33.976,-117.625,193.8528,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,180072
ASOSAWOS_72290023188,32.734,-117.183,4.572,1942-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,536977
ASOSAWOS_72290303131,32.815,-117.137,127.4064,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,189378
ASOSAWOS_72290403178,32.576,-116.994,158.8008,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,199731
ASOSAWOS_72290693112,32.692,-117.21,4.2672,1945-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,415287
ASOSAWOS_72290753143,32.826,-116.973,32.826,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,209601
ASOSAWOS_72290993115,32.568,-117.117,7.3152,1973-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,345314
ASOSAWOS_72291093116,33.234,-119.456,161.2392,1943-06-16 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,301161
ASOSAWOS_72292023191,33.404,-118.415,477.012,1943-06-12 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,275215
ASOSAWOS_72292593117,33.023,-118.588,55.4736,1943-06-10 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,256252
ASOSAWOS_72292603154,33.304,-117.355,21.336,1973-01-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,382260
ASOSAWOS_72292703177,33.13,-117.277,95.4024,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,201457
ASOSAWOS_72292800369,33.286,-117.456,27.1272,2009-10-29 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,123113
ASOSAWOS_72293193107,32.867,-117.133,145.3896,2005-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,179796
ASOSAWOS_72293453121,33.219,-117.35,9.144,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,202377
ASOSAWOS_72295023174,33.938,-118.387,29.5656,1944-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,532506
