activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,path,catalog,installation
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,sw_sfc,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/sw_sfc/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2max,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2max/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2max,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2max/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2max,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2max/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2min,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2min/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2min,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2min/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,t2min,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/t2min/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,tskin,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/tskin/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,tskin,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/tskin/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,tskin,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/tskin/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,wspd10max,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/wspd10max/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,wspd10max,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/wspd10max/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,wspd10max,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/wspd10max/d03/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,wspd10mean,d01,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/wspd10mean/d01/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,wspd10mean,d02,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/wspd10mean/d02/,data,
WRF,UCLA,EC-Earth3,historical,r1i1p1f1,mon,wspd10mean,d03,s3://cadcat/wrf/ucla/ec-earth3/historical/mon/wspd10mean/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwdnbc,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwdnbc/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwdnbc,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwdnbc/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwdnbc,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwdnbc/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwdnb,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwdnb/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwdnb,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwdnb/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwdnb,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwdnb/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwupbc,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwupbc/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwupbc,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwupbc/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwupbc,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwupbc/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwupb,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwupb/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwupb,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwupb/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,lwupb,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/lwupb/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,p,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/p/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,ph,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/ph/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,prec,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/prec/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,prec,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/prec/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,prec,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/prec/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,psfc,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/psfc/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,psfc,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/psfc/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,psfc,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/psfc/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,q2,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/q2/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,q2,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/q2/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,q2,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/q2/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,rainc,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/rainc/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,rainc,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/rainc/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,rainc,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/rainc/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,rainnc,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/rainnc/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,rainnc,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/rainnc/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,rainnc,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/rainnc/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,runsb,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/runsb/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,runsb,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/runsb/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,runsb,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/runsb/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,runsf,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/runsf/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,runsf,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/runsf/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,runsf,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/runsf/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,snow,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/snow/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,snow,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/snow/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,snow,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/snow/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,snownc,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/snownc/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,snownc,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/snownc/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,snownc,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/snownc/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddif,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddif/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddif,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddif/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddif,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddif/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddir,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddir/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddir,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddir/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddir,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddir/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddni,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddni/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddni,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddni/d02/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swddni,d03,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swddni/d03/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swdnbc,d01,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swdnbc/d01/,data,
WRF,UCLA,EC-Earth3,ssp370,r1i1p1f1,1hr,swdnbc,d02,s3://cadcat/wrf/ucla/ec-earth3/ssp370/1hr/swdnbc/d02/,data,
